Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Type,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meter),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Scene Mode,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LM05_L1GS_090084_19870801_20180329_01_T2,LM50900841987213ASA01,1987/08/01,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:213:23:15:41.5860000,1987:213:23:16:10.1470000,ASA,DAY,58,53,-1,-1,,,,N,7,N,LPGS_13.0.1,FULL,23.57106171,44.80788672,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3799,3929,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°49'59.99"E,33°41'41.53"S,149°03'31.50"E,33°58'51.31"S,151°01'46.96"E,35°27'58.00"S,150°37'32.59"E,35°10'29.64"S,148°37'13.37"E,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.46611,150.62572,-35.1749,148.62038,LM05_L1GS_090084_19870801_20180329_01_T2,LM50900841987213ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987213ASA01
LM05_L1TP_090084_19870716_20180329_01_T2,LM50900841987197ASA01,1987/07/16,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:197:23:15:15.0030000,1987:197:23:15:43.5600000,ASA,DAY,18,15,158,4,22.648,12.954,18.578,N,8,N,LPGS_13.0.1,FULL,20.8664792,42.64108657,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3799,3931,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°49'59.99"E,33°41'41.53"S,149°03'31.50"E,33°58'51.31"S,151°01'46.96"E,35°27'58.00"S,150°37'32.59"E,35°10'29.64"S,148°37'13.37"E,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.46611,150.62572,-35.1749,148.62038,LM05_L1TP_090084_19870716_20180329_01_T2,LM50900841987197ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987197ASA01
LM05_L1TP_090084_19870630_20180329_01_T2,LM50900841987181ASA01,1987/06/30,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:181:23:14:57.6800000,1987:181:23:15:26.2400000,ASA,DAY,47,42,116,4,27.949,18.232,21.184,N,9,N,LPGS_13.0.1,FULL,19.66307727,41.09391106,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3938,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°48'00.00"E,33°41'41.53"S,149°01'31.51"E,33°58'51.31"S,150°59'46.97"E,35°27'58.00"S,150°35'32.60"E,35°10'29.64"S,148°35'13.38"E,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.46611,150.59239,-35.1749,148.58705,LM05_L1TP_090084_19870630_20180329_01_T2,LM50900841987181ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987181ASA01
LM05_L1TP_090084_19870614_20180329_01_T2,LM50900841987165ASA01,1987/06/14,LANDSAT_5,T2,1,,2, 090, 084,2018/03/29,1987:165:23:14:37.6600000,1987:165:23:15:06.2200000,ASA,DAY,15,14,325,4,22.154,14.362,16.868,N,9,N,LPGS_13.0.1,FULL,19.96495151,40.43970045,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3942,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'59.98"E,33°41'41.53"S,148°59'31.49"E,33°58'51.31"S,150°57'46.94"E,35°27'58.00"S,150°33'32.58"E,35°10'29.64"S,148°33'13.36"E,-34.58333,149.76666,-33.69487,148.99208,-33.98092,150.96304,-35.46611,150.55905,-35.1749,148.55371,LM05_L1TP_090084_19870614_20180329_01_T2,LM50900841987165ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987165ASA01
LM05_L1TP_090084_19870529_20180328_01_T2,LM50900841987149ASA01,1987/05/29,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:149:23:14:15.3680000,1987:149:23:14:43.9290000,ASA,DAY,38,36,419,4,20.397,13.052,15.674,N,8,N,LPGS_13.0.1,FULL,21.60929092,40.96182963,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3946,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1TP_090084_19870529_20180328_01_T2,LM50900841987149ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987149ASA01
LM05_L1GS_090084_19870513_20180328_01_T2,LM50900841987133ASA01,1987/05/13,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:133:23:13:50.6050000,1987:133:23:14:19.1600000,ASA,DAY,44,40,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,24.3021337,42.87492082,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3797,3939,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1GS_090084_19870513_20180328_01_T2,LM50900841987133ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987133ASA01
LM05_L1TP_090084_19870427_20180328_01_T2,LM50900841987117ASA01,1987/04/27,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:117:23:13:22.7550000,1987:117:23:13:51.3100000,ASA,DAY,54,51,338,4,14.534,11.608,8.746,N,9,N,LPGS_13.0.1,FULL,27.65528603,46.30522652,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3797,3934,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°44'00.02"E,33°41'41.53"S,148°57'31.54"E,33°58'51.31"S,150°55'46.99"E,35°27'58.00"S,150°31'32.63"E,35°10'29.64"S,148°31'13.40"E,-34.58333,149.73334,-33.69487,148.95876,-33.98092,150.92972,-35.46611,150.52573,-35.1749,148.52039,LM05_L1TP_090084_19870427_20180328_01_T2,LM50900841987117ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987117ASA01
LM05_L1TP_090084_19870411_20180328_01_T2,LM50900841987101ASA01,1987/04/11,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:101:23:12:52.9430000,1987:101:23:13:21.5000000,ASA,DAY,0,0,797,4,21.252,14.136,15.869,N,9,N,LPGS_13.0.1,FULL,31.33691616,51.13739956,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3797,3931,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1TP_090084_19870411_20180328_01_T2,LM50900841987101ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987101ASA01
LM05_L1GS_090084_19870326_20180328_01_T2,LM50900841987085ASA02,1987/03/26,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:085:23:12:20.5000000,1987:085:23:12:49.0530000,ASA,DAY,73,70,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,35.00599488,57.17309961,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3798,3927,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1GS_090084_19870326_20180328_01_T2,LM50900841987085ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987085ASA02
LM05_L1TP_090084_19870310_20180328_01_T2,LM50900841987069ASA02,1987/03/10,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:069:23:11:46.2900000,1987:069:23:12:14.8500000,ASA,DAY,5,4,356,4,19.941,14.816,13.346,N,9,N,LPGS_13.0.1,FULL,38.48870278,63.93299484,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3935,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'59.98"E,33°41'41.53"S,148°59'31.49"E,33°58'51.31"S,150°57'46.94"E,35°27'58.00"S,150°33'32.58"E,35°10'29.64"S,148°33'13.36"E,-34.58333,149.76666,-33.69487,148.99208,-33.98092,150.96304,-35.46611,150.55905,-35.1749,148.55371,LM05_L1TP_090084_19870310_20180328_01_T2,LM50900841987069ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987069ASA02
LM05_L1GS_090084_19870206_20180328_01_T2,LM50900841987037ASA02,1987/02/06,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:037:23:10:24.9750000,1987:037:23:10:53.5300000,ASA,DAY,5,4,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,44.63503215,77.10433761,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3800,3949,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°49'00.01"E,33°41'41.53"S,149°02'31.49"E,33°58'51.31"S,151°00'46.98"E,35°27'58.00"S,150°36'32.58"E,35°10'29.64"S,148°36'13.36"E,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.46611,150.60905,-35.1749,148.60371,LM05_L1GS_090084_19870206_20180328_01_T2,LM50900841987037ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987037ASA02
LM05_L1TP_090084_19870121_20180328_01_T2,LM50900841987021ASA02,1987/01/21,LANDSAT_5,T2,1,,2, 090, 084,2018/03/28,1987:021:23:09:57.4500000,1987:021:23:10:26.0100000,ASA,DAY,3,3,506,4,24.865,14.527,20.18,N,9,N,LPGS_13.0.1,FULL,47.34189648,81.98137658,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3799,3943,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°47'00.02"E,33°41'41.53"S,149°00'31.54"E,33°58'51.31"S,150°58'46.99"E,35°27'58.00"S,150°34'32.63"E,35°10'29.64"S,148°34'13.40"E,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.46611,150.57573,-35.1749,148.57039,LM05_L1TP_090084_19870121_20180328_01_T2,LM50900841987021ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987021ASA02
LM05_L1TP_090084_19870105_20180327_01_T2,LM50900841987005ASA02,1987/01/05,LANDSAT_5,T2,1,,2, 090, 084,2018/03/27,1987:005:23:09:30.2700000,1987:005:23:09:58.8300000,ASA,DAY,0,0,598,4,26.539,14.443,22.265,N,8,N,LPGS_13.0.1,FULL,49.73908975,84.70999065,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3799,3935,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°45'00.00"E,33°41'41.53"S,148°58'31.51"E,33°58'51.31"S,150°56'46.97"E,35°27'58.00"S,150°32'32.60"E,35°10'29.64"S,148°32'13.38"E,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.46611,150.54239,-35.1749,148.53705,LM05_L1TP_090084_19870105_20180327_01_T2,LM50900841987005ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841987005ASA02
LM05_L1TP_090084_19861220_20180405_01_T2,LM50900841986354ASA01,1986/12/20,LANDSAT_5,T2,1,,2, 090, 084,2018/04/05,1986:354:23:09:01.4800000,1986:354:23:09:30.0430000,ASA,DAY,1,0,559,4,25.298,15.172,20.243,N,9,N,LPGS_13.0.1,FULL,51.57018396,84.73800116,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3798,3928,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°42'00.00"E,33°41'41.53"S,148°55'31.51"E,33°58'51.31"S,150°53'46.97"E,35°27'58.00"S,150°29'32.60"E,35°10'29.64"S,148°29'13.38"E,-34.58333,149.7,-33.69487,148.92542,-33.98092,150.89638,-35.46611,150.49239,-35.1749,148.48705,LM05_L1TP_090084_19861220_20180405_01_T2,LM50900841986354ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986354ASA01
LM05_L1TP_090084_19861102_20180402_01_T2,LM50900841986306ASA02,1986/11/02,LANDSAT_5,T2,1,,2, 090, 084,2018/04/02,1986:306:23:09:00.0300000,1986:306:23:09:28.5860000,ASA,DAY,5,4,622,4,23.378,16.968,16.081,N,9,N,LPGS_13.0.1,FULL,50.01697731,70.31985618,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3792,3929,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°49'59.99"E,33°42'41.44"S,149°03'31.03"E,33°59'51.43"S,151°01'47.89"E,35°28'58.04"S,150°37'33.06"E,35°11'29.51"S,148°37'12.43"E,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.48279,150.62585,-35.19153,148.62012,LM05_L1TP_090084_19861102_20180402_01_T2,LM50900841986306ASA02,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986306ASA02
LM05_L1TP_090084_19861017_20180402_01_T2,LM50900841986290ASA01,1986/10/17,LANDSAT_5,T2,1,,2, 090, 084,2018/04/02,1986:290:23:09:34.1460000,1986:290:23:10:02.7060000,ASA,DAY,54,51,311,4,23.119,13.719,18.608,N,9,N,LPGS_13.0.1,FULL,46.34675662,64.20831804,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3793,3930,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°49'59.99"E,33°42'41.44"S,149°03'31.03"E,33°59'51.43"S,151°01'47.89"E,35°28'58.04"S,150°37'33.06"E,35°11'29.51"S,148°37'12.43"E,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.48279,150.62585,-35.19153,148.62012,LM05_L1TP_090084_19861017_20180402_01_T2,LM50900841986290ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986290ASA01
LM05_L1TP_090084_19861001_20180402_01_T2,LM50900841986274ASA01,1986/10/01,LANDSAT_5,T2,1,,2, 090, 084,2018/04/02,1986:274:23:10:06.2010000,1986:274:23:10:34.7660000,ASA,DAY,22,18,468,4,18.337,12.931,13.001,N,9,N,LPGS_13.0.1,FULL,41.53467345,58.94308229,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3793,3933,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°51'00.04"E,33°42'41.44"S,149°04'31.08"E,33°59'51.43"S,151°02'47.94"E,35°28'58.04"S,150°38'33.11"E,35°11'29.51"S,148°38'12.48"E,-34.6,149.85001,-33.71151,149.0753,-33.99762,151.04665,-35.48279,150.64253,-35.19153,148.6368,LM05_L1TP_090084_19861001_20180402_01_T2,LM50900841986274ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986274ASA01
LM05_L1TP_090084_19860915_20180402_01_T2,LM50900841986258ASA01,1986/09/15,LANDSAT_5,T2,1,,2, 090, 084,2018/04/02,1986:258:23:10:34.4600000,1986:258:23:11:03.0200000,ASA,DAY,76,75,220,4,16.807,12.986,10.67,N,7,N,LPGS_13.0.1,FULL,36.16726101,54.60669744,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3794,3930,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°52'00.01"E,33°42'41.44"S,149°05'31.06"E,33°59'51.43"S,151°03'47.92"E,35°28'58.04"S,150°39'33.08"E,35°11'29.51"S,148°39'12.46"E,-34.6,149.86667,-33.71151,149.09196,-33.99762,151.06331,-35.48279,150.65919,-35.19153,148.65346,LM05_L1TP_090084_19860915_20180402_01_T2,LM50900841986258ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986258ASA01
LM05_L1TP_090084_19860830_20180401_01_T2,LM50900841986242ASA01,1986/08/30,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:242:23:11:06.8130000,1986:242:23:11:35.3800000,ASA,DAY,0,0,797,4,22.422,13.433,17.953,N,8,N,LPGS_13.0.1,FULL,30.86841476,50.96188509,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3794,3930,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°52'00.01"E,33°42'41.44"S,149°05'31.06"E,33°59'51.43"S,151°03'47.92"E,35°28'58.04"S,150°39'33.08"E,35°11'29.51"S,148°39'12.46"E,-34.6,149.86667,-33.71151,149.09196,-33.99762,151.06331,-35.48279,150.65919,-35.19153,148.65346,LM05_L1TP_090084_19860830_20180401_01_T2,LM50900841986242ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986242ASA01
LM05_L1GS_090084_19860814_20180401_01_T2,LM50900841986226ASA01,1986/08/14,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:226:23:11:43.6400000,1986:226:23:12:12.2030000,ASA,DAY,55,48,-1,-1,,,,N,8,N,LPGS_13.0.1,FULL,26.1693251,47.81425895,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3794,3932,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°51'00.04"E,33°42'41.44"S,149°04'31.08"E,33°59'51.43"S,151°02'47.94"E,35°28'58.04"S,150°38'33.11"E,35°11'29.51"S,148°38'12.48"E,-34.6,149.85001,-33.71151,149.0753,-33.99762,151.04665,-35.48279,150.64253,-35.19153,148.6368,LM05_L1GS_090084_19860814_20180401_01_T2,LM50900841986226ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986226ASA01
LM05_L1TP_090084_19860729_20180401_01_T2,LM50900841986210ASA01,1986/07/29,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:210:23:12:18.4880000,1986:210:23:12:47.0460000,ASA,DAY,3,2,778,4,22.308,18.548,12.394,N,9,N,LPGS_13.0.1,FULL,22.51379797,45.06198122,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3793,3929,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°36'00.00"S,149°49'59.99"E,33°42'41.44"S,149°03'31.03"E,33°59'51.43"S,151°01'47.89"E,35°28'58.04"S,150°37'33.06"E,35°11'29.51"S,148°37'12.43"E,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.48279,150.62585,-35.19153,148.62012,LM05_L1TP_090084_19860729_20180401_01_T2,LM50900841986210ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986210ASA01
LM05_L1GS_090084_19860713_20180401_01_T2,LM50900841986194ASA01,1986/07/13,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:194:23:12:54.4990000,1986:194:23:13:23.0600000,ASA,DAY,1,1,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,20.21462417,42.79974096,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3792,3930,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°48'00.00"E,33°41'41.53"S,149°01'31.51"E,33°58'51.31"S,150°59'46.97"E,35°27'58.00"S,150°35'32.60"E,35°10'29.64"S,148°35'13.38"E,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.46611,150.59239,-35.1749,148.58705,LM05_L1GS_090084_19860713_20180401_01_T2,LM50900841986194ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986194ASA01
LM05_L1GS_090084_19860627_20180401_01_T2,LM50900841986178ASA01,1986/06/27,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:178:23:13:25.3950000,1986:178:23:13:53.9560000,ASA,DAY,60,56,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,19.40855961,41.20140966,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3792,3933,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°47'00.02"E,33°41'41.53"S,149°00'31.54"E,33°58'51.31"S,150°58'46.99"E,35°27'58.00"S,150°34'32.63"E,35°10'29.64"S,148°34'13.40"E,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.46611,150.57573,-35.1749,148.57039,LM05_L1GS_090084_19860627_20180401_01_T2,LM50900841986178ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986178ASA01
LM05_L1GS_090084_19860611_20180401_01_T2,LM50900841986162ASA01,1986/06/11,LANDSAT_5,T2,1,,2, 090, 084,2018/04/01,1986:162:23:13:55.3330000,1986:162:23:14:23.8920000,ASA,DAY,69,66,-1,-1,,,,N,9,N,LPGS_13.0.1,FULL,20.08675297,40.5470068,UNKNOWN,MSS_L1GS,MSS,PREDICTIVE,3792,3931,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°47'00.02"E,33°41'41.53"S,149°00'31.54"E,33°58'51.31"S,150°58'46.99"E,35°27'58.00"S,150°34'32.63"E,35°10'29.64"S,148°34'13.40"E,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.46611,150.57573,-35.1749,148.57039,LM05_L1GS_090084_19860611_20180401_01_T2,LM50900841986162ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986162ASA01
LM05_L1TP_090084_19860526_20180331_01_T2,LM50900841986146ASA01,1986/05/26,LANDSAT_5,T2,1,,2, 090, 084,2018/03/31,1986:146:23:14:24.5380000,1986:146:23:14:53.0960000,ASA,DAY,3,2,724,4,23.092,18.991,13.137,N,9,N,LPGS_13.0.1,FULL,22.06159362,41.10912419,UNKNOWN,MSS_L1TP,MSS,PREDICTIVE,3792,3930,UTM,55,WGS84,WGS84,60,LM05CPF_19841109_19940428_01.01,34°34'59.99"S,149°47'00.02"E,33°41'41.53"S,149°00'31.54"E,33°58'51.31"S,150°58'46.99"E,35°27'58.00"S,150°34'32.63"E,35°10'29.64"S,148°34'13.40"E,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.46611,150.57573,-35.1749,148.57039,LM05_L1TP_090084_19860526_20180331_01_T2,LM50900841986146ASA01,https://earthexplorer.usgs.gov/browse-link/14661/LM50900841986146ASA01
